Provincia,Cantón
Azuay,Cuenca
Azuay,Chordeleg
Azuay,El Pan
Azuay,Girón
Azuay,Guachapala
Azuay,Gualaceo
Azuay,Nabón
Azuay,Oña
Azuay,Paute
Azuay,Ponce Enríquez
Azuay,San Fernando
Azuay,Santa Isabel
Azuay,Sevilla de Oro
Azuay,Sígsig
Bolívar,Guaranda
Bolívar,Caluma
Bolívar,Chillanes
Bolívar,Chimbo
Bolívar,Echeandía
Bolívar,Las Naves
Bolívar,San Miguel
Cañar,Azogues
Cañar,Biblián
Cañar,Cañar
Cañar,Déleg
Cañar,El Tambo
Cañar,La Troncal
Cañar,Suscal
Carchi,Tulcán
Carchi,Bolívar
Carchi,Espejo
Carchi,Mira
Carchi,Montúfar
Carchi,San Pedro de Huaca
Chimborazo,Riobamba
Chimborazo,Alausí
Chimborazo,Chambo
Chimborazo,Chunchi
Chimborazo,Colta
Chimborazo,Cumandá
Chimborazo,Guamote
Chimborazo,Guano
Chimborazo,Pallatanga
Chimborazo,Penipe
Cotopaxi,Latacunga
Cotopaxi,La Maná
Cotopaxi,Pangua
Cotopaxi,Pujilí
Cotopaxi,Salcedo
Cotopaxi,Saquisilí
Cotopaxi,Sigchos
El Oro,Machala
El Oro,Arenillas
El Oro,Atahualpa
El Oro,Balsas
El Oro,Chilla
El Oro,El Guabo
El Oro,Huaquillas
El Oro,Las Lajas
El Oro,Marcabelí
El Oro,Pasaje
El Oro,Piñas
El Oro,Portovelo
El Oro,Santa Rosa
El Oro,Zaruma
Esmeraldas,Esmeraldas
Esmeraldas,Atacames
Esmeraldas,Eloy Alfaro
Esmeraldas,Muisne
Esmeraldas,Quinindé
Esmeraldas,Río Verde
Esmeraldas,San Lorenzo
Galápagos,San Cristóbal
Galápagos,Isabela
Galápagos,Santa Cruz
Guayas,Guayaquil
Guayas,Alfredo Baquerizo Moreno
Guayas,Balao
Guayas,Balzar
Guayas,Colimes
Guayas,Daule
Guayas,Durán
Guayas,El Empalme
Guayas,El Triunfo
